alert_id,transaction_id,alert_timestamp,rule_triggered,risk_score,reviewer_status,resolution
ALT-86643e48,TXN-3a077f2a,2025-11-04 23:02:16,High Velocity,85,Unassigned,True Positive (Fraud)
ALT-6ff234b2,TXN-88ef3b4b,2025-10-01 15:31:13,Impossible Travel,88,In Review,True Positive (Fraud)
ALT-9b63486a,TXN-47d13eb4,2025-12-17 23:09:02,VPN Detected,75,In Review,True Positive (Fraud)
ALT-a98b1e6b,TXN-16b3c093,2025-10-31 10:11:22,High Value,98,Unassigned,Unresolved
ALT-96e76e69,TXN-1fb10af7,2025-08-25 02:53:43,VPN Detected,80,Closed,False Positive (Legit)
ALT-aef98090,TXN-5bab8a8a,2025-04-26 18:16:25,VPN Detected,54,Closed,False Positive (Legit)
ALT-f75777ce,TXN-ee2449dd,2025-07-02 00:48:02,High Value,77,Closed,Unresolved
ALT-4f4e9607,TXN-de1e4e9c,2025-01-22 08:12:26,VPN Detected,55,In Review,True Positive (Fraud)
ALT-486d49e0,TXN-d34f1e48,2025-05-31 05:11:36,VPN Detected,50,In Review,Unresolved
ALT-eaf9dd1b,TXN-4b7228e1,2025-05-03 00:22:17,High Velocity,89,In Review,Unresolved
ALT-2d1f7355,TXN-e50a5f6e,2025-05-26 00:20:27,Impossible Travel,53,Unassigned,True Positive (Fraud)
ALT-1565b7d8,TXN-a40b65ad,2025-01-15 14:40:55,Impossible Travel,54,In Review,False Positive (Legit)
ALT-30e3a741,TXN-b087ee59,2025-11-18 08:04:37,Impossible Travel,97,In Review,Unresolved
ALT-e1e79761,TXN-96fc4c91,2025-09-16 12:59:04,High Value,77,Unassigned,Unresolved
ALT-54889e36,TXN-19c863f0,2025-01-09 02:28:05,High Value,87,Closed,False Positive (Legit)
ALT-13473e0b,TXN-6f334e43,2025-11-26 02:55:03,High Value,58,In Review,True Positive (Fraud)
ALT-a5d93305,TXN-707a81a9,2025-08-31 00:23:01,VPN Detected,68,Unassigned,False Positive (Legit)
ALT-137f89ec,TXN-30c5bac7,2025-12-31 11:56:01,VPN Detected,64,In Review,False Positive (Legit)
ALT-d069c6e9,TXN-f656c362,2025-10-16 02:24:47,High Value,68,Unassigned,Unresolved
ALT-edbb4baa,TXN-509887b3,2025-05-21 05:46:03,Impossible Travel,91,Closed,True Positive (Fraud)
ALT-3a33bbb4,TXN-486c56b1,2025-12-01 04:05:17,High Value,65,Unassigned,False Positive (Legit)
ALT-36ec5e2e,TXN-16738fdc,2025-07-15 00:06:13,High Value,50,In Review,Unresolved
ALT-fd5049fa,TXN-d0a5ceb2,2025-06-08 01:17:07,Impossible Travel,83,In Review,Unresolved
ALT-957ee686,TXN-879bb60d,2025-04-23 08:49:06,High Value,61,Closed,False Positive (Legit)
ALT-d1625ba0,TXN-28554d6b,2025-09-24 18:56:02,VPN Detected,50,Closed,Unresolved
ALT-d723e5fa,TXN-22595d4f,2025-03-05 06:57:40,VPN Detected,84,In Review,False Positive (Legit)
ALT-387f6da1,TXN-5f65a4f4,2025-01-03 17:51:19,High Velocity,94,Closed,Unresolved
ALT-29101c28,TXN-47a9b69b,2025-01-14 16:30:07,Impossible Travel,53,In Review,False Positive (Legit)
ALT-3416cf74,TXN-264c29e0,2025-10-03 14:55:11,High Velocity,78,Unassigned,Unresolved
ALT-f2f5b6a9,TXN-7cfad8c8,2025-01-17 02:27:50,High Value,81,Closed,Unresolved
ALT-5443622e,TXN-e64bb563,2025-09-26 01:55:38,VPN Detected,59,Unassigned,Unresolved
ALT-9a6d59d0,TXN-f76f12c1,2025-03-22 00:09:42,High Value,84,Unassigned,Unresolved
ALT-35970afa,TXN-1142566a,2025-01-14 06:47:52,High Value,91,Closed,False Positive (Legit)
ALT-1144a1f2,TXN-a64402fb,2025-02-21 07:52:23,Impossible Travel,62,In Review,Unresolved
ALT-6802f5e8,TXN-17cbc639,2025-03-13 17:24:27,High Velocity,90,Unassigned,True Positive (Fraud)
ALT-1cad9d8a,TXN-6e5f8ee8,2025-03-15 11:32:10,High Value,74,In Review,Unresolved
ALT-a85ea7c7,TXN-4cc8ddd0,2025-09-30 21:46:51,High Velocity,57,Closed,False Positive (Legit)
ALT-cbc1b242,TXN-4becd836,2025-07-08 09:17:05,Impossible Travel,68,Unassigned,Unresolved
ALT-a2ec30c6,TXN-ff57f8a1,2025-04-14 11:16:01,High Velocity,91,Closed,True Positive (Fraud)
ALT-a846d3c1,TXN-05dcb653,2025-03-12 05:06:33,High Velocity,55,Closed,Unresolved
ALT-5a40fe20,TXN-e2128320,2025-04-14 20:58:10,VPN Detected,53,Closed,False Positive (Legit)
ALT-c3cb931d,TXN-926e2111,2025-03-30 03:27:30,High Velocity,64,In Review,True Positive (Fraud)
ALT-237752de,TXN-d6691a17,2025-10-21 17:41:59,High Value,59,Closed,True Positive (Fraud)
ALT-0b119515,TXN-65d77870,2025-10-24 23:03:40,High Velocity,50,Closed,False Positive (Legit)
ALT-e5208740,TXN-602aa836,2025-10-27 22:54:11,High Value,96,In Review,False Positive (Legit)
ALT-113b19a2,TXN-b1af6b84,2025-12-16 06:24:32,VPN Detected,72,Unassigned,False Positive (Legit)
ALT-e9281143,TXN-e8548f02,2025-01-01 02:59:55,High Velocity,89,Unassigned,Unresolved
ALT-115fe07c,TXN-683e514b,2025-05-17 16:38:57,High Value,73,Closed,False Positive (Legit)
ALT-dfb3b273,TXN-8c0b6d63,2025-09-02 17:59:16,High Velocity,59,Unassigned,True Positive (Fraud)
ALT-65b780e8,TXN-dbf8ca85,2025-11-23 06:34:36,VPN Detected,69,In Review,False Positive (Legit)
ALT-6c9acbee,TXN-f1bc80f9,2025-06-09 23:27:07,Impossible Travel,59,In Review,Unresolved
ALT-53f7fda1,TXN-8e785178,2025-10-12 01:03:55,High Value,89,Closed,Unresolved
ALT-83edcd9d,TXN-ddf3c001,2025-07-28 03:36:14,Impossible Travel,84,Closed,False Positive (Legit)
ALT-8e33fc16,TXN-e8028cfe,2025-07-08 17:58:46,VPN Detected,74,Unassigned,False Positive (Legit)
ALT-ebb2b4e8,TXN-3190b4de,2025-01-15 11:47:05,Impossible Travel,66,Unassigned,False Positive (Legit)
ALT-46fbf616,TXN-2a2586a3,2025-01-20 02:32:16,Impossible Travel,99,Unassigned,Unresolved
ALT-2d7193f7,TXN-e6d83b1c,2025-11-25 05:40:08,VPN Detected,68,Closed,True Positive (Fraud)
ALT-a074a503,TXN-e1501dca,2025-05-28 00:00:05,VPN Detected,92,Unassigned,True Positive (Fraud)
ALT-af6afe41,TXN-0a6ae7b8,2025-07-17 11:15:05,Impossible Travel,86,In Review,True Positive (Fraud)
ALT-317ec505,TXN-296662c9,2025-11-20 12:34:17,Impossible Travel,53,Unassigned,True Positive (Fraud)
ALT-5daf9524,TXN-a7313cc3,2025-01-26 21:01:21,High Velocity,69,In Review,Unresolved
ALT-8b1db9ef,TXN-746fc6d9,2025-09-10 09:37:55,High Velocity,71,In Review,True Positive (Fraud)
ALT-5ced6eff,TXN-95b5017a,2025-09-19 20:38:09,VPN Detected,60,Unassigned,Unresolved
ALT-65863c73,TXN-edc5a279,2025-05-01 12:40:13,High Velocity,80,In Review,True Positive (Fraud)
ALT-b4c89f18,TXN-4c64974d,2025-04-12 19:26:00,High Value,66,Unassigned,True Positive (Fraud)
ALT-255ba2b4,TXN-3045c262,2025-06-08 11:49:09,High Value,52,Unassigned,False Positive (Legit)
ALT-31c393fb,TXN-2981c020,2025-10-16 04:08:53,Impossible Travel,55,Unassigned,True Positive (Fraud)
ALT-874f4ee4,TXN-b942e892,2025-12-17 06:14:39,VPN Detected,61,Closed,True Positive (Fraud)
ALT-1f91ff16,TXN-f674db6b,2025-12-27 16:44:46,High Velocity,83,In Review,True Positive (Fraud)
ALT-89abf9dc,TXN-54f3ae5f,2025-11-13 02:57:02,High Velocity,98,In Review,False Positive (Legit)
ALT-8202cabc,TXN-1e5736f5,2025-05-09 17:20:59,High Value,61,In Review,False Positive (Legit)
ALT-d1be9e4b,TXN-ff837b54,2025-06-01 18:32:27,Impossible Travel,96,In Review,True Positive (Fraud)
ALT-9ee0c826,TXN-d0cea64b,2025-11-26 03:48:02,High Value,89,Closed,False Positive (Legit)
ALT-19d12560,TXN-09a4ea54,2025-06-22 14:56:05,VPN Detected,68,Unassigned,True Positive (Fraud)
ALT-5fc64836,TXN-6d3266a8,2025-03-19 03:53:40,VPN Detected,53,Unassigned,True Positive (Fraud)
ALT-3898327c,TXN-0dac5511,2025-05-21 06:22:05,High Value,80,Closed,True Positive (Fraud)
ALT-d311801f,TXN-7ebe9675,2025-04-29 00:31:14,High Value,62,Closed,True Positive (Fraud)
ALT-b2382c4a,TXN-83e767a4,2025-02-05 15:43:34,High Value,71,In Review,Unresolved
ALT-a76aaccb,TXN-ce40f411,2025-01-11 23:04:59,High Velocity,92,Closed,True Positive (Fraud)
ALT-cbf9be05,TXN-05eb1855,2025-01-12 17:17:58,VPN Detected,88,Unassigned,True Positive (Fraud)
ALT-810afff9,TXN-4c37de89,2025-02-16 07:21:56,High Value,74,Unassigned,False Positive (Legit)
ALT-151ef052,TXN-f1c9d9c5,2025-03-27 14:58:42,VPN Detected,85,Closed,Unresolved
ALT-7df3f824,TXN-29162efe,2025-04-03 03:05:10,Impossible Travel,92,Unassigned,Unresolved
ALT-a0868f4e,TXN-9e6962b5,2025-10-11 08:31:31,VPN Detected,63,Unassigned,Unresolved
ALT-f4dd03cc,TXN-af9308b8,2025-08-24 15:20:25,Impossible Travel,50,In Review,Unresolved
ALT-17e421ef,TXN-eef7b7a9,2025-10-22 20:18:51,VPN Detected,95,Unassigned,True Positive (Fraud)
ALT-babc06ae,TXN-e2b67676,2025-04-17 22:09:44,VPN Detected,97,Unassigned,True Positive (Fraud)
ALT-87ef209f,TXN-3ba76f2c,2025-03-31 20:06:24,High Velocity,67,Closed,Unresolved
ALT-682a0519,TXN-ac4c8b11,2025-07-26 07:41:04,Impossible Travel,68,Closed,Unresolved
ALT-9620cad4,TXN-b82af3ec,2025-07-10 08:43:09,High Value,67,In Review,True Positive (Fraud)
ALT-875b128d,TXN-7d9610d0,2025-06-07 03:03:41,Impossible Travel,85,Closed,Unresolved
ALT-6c2e4864,TXN-e5b523b5,2025-06-12 15:55:39,High Velocity,62,Unassigned,True Positive (Fraud)
ALT-aae4b798,TXN-9161efd1,2025-10-26 05:05:06,High Value,91,Unassigned,Unresolved
ALT-b7027a2e,TXN-fc7c6460,2025-01-30 13:55:36,Impossible Travel,65,In Review,True Positive (Fraud)
ALT-ad1c9809,TXN-51c22583,2025-03-28 09:03:54,VPN Detected,80,Closed,Unresolved
ALT-5d4d5a7a,TXN-fcc2208c,2025-04-22 14:14:00,High Value,58,Unassigned,Unresolved
ALT-afd266a2,TXN-00ca4a47,2025-10-22 00:05:21,VPN Detected,50,In Review,Unresolved
ALT-1cd21a8f,TXN-61d83752,2025-02-01 20:47:35,High Velocity,95,In Review,True Positive (Fraud)
ALT-d009fc16,TXN-5264cc84,2025-12-16 21:16:08,Impossible Travel,83,Unassigned,False Positive (Legit)
ALT-ca0541c3,TXN-4f928e5f,2025-11-24 09:15:37,High Value,92,Closed,True Positive (Fraud)
ALT-4c82c7ea,TXN-0f36994f,2025-06-12 23:54:17,VPN Detected,90,In Review,True Positive (Fraud)
ALT-87f57c7b,TXN-e630bfef,2025-10-14 09:47:08,High Velocity,77,Unassigned,Unresolved
ALT-d92cdee3,TXN-e845be3f,2025-10-30 17:21:10,High Velocity,99,Closed,True Positive (Fraud)
ALT-5756eae8,TXN-7996f0c7,2025-01-31 05:51:44,High Value,85,Unassigned,True Positive (Fraud)
ALT-1e3a4a21,TXN-64bbf787,2025-07-28 09:27:09,Impossible Travel,89,Unassigned,False Positive (Legit)
ALT-2732a19c,TXN-f3511f6a,2025-06-17 16:22:06,High Velocity,64,Closed,False Positive (Legit)
ALT-12afc699,TXN-31f69285,2025-10-24 14:18:13,High Value,61,Closed,Unresolved
ALT-98afc381,TXN-c32ac16c,2025-01-13 23:27:38,High Value,92,In Review,False Positive (Legit)
ALT-5dd634c7,TXN-0e687a51,2025-11-13 15:26:52,High Velocity,57,In Review,Unresolved
ALT-bc81bf8f,TXN-fdf17d52,2025-06-05 16:22:12,VPN Detected,97,In Review,True Positive (Fraud)
ALT-7c49e865,TXN-eff67eee,2025-08-25 06:47:14,High Velocity,76,Closed,True Positive (Fraud)
ALT-145d7476,TXN-9084f5ce,2025-02-04 08:35:44,High Velocity,61,In Review,True Positive (Fraud)
ALT-3146c4a5,TXN-ea3e25f0,2025-02-15 16:32:45,VPN Detected,61,Closed,True Positive (Fraud)
ALT-fd500ec2,TXN-c13902c2,2025-05-03 08:58:29,High Value,53,In Review,True Positive (Fraud)
ALT-2e7b6046,TXN-36aa5d06,2025-12-24 22:48:05,High Value,50,In Review,True Positive (Fraud)
ALT-ff4e5d9b,TXN-c1be8f44,2025-06-01 16:22:12,VPN Detected,93,Unassigned,True Positive (Fraud)
ALT-d9c1a0f1,TXN-dd3542ab,2025-03-14 01:04:32,VPN Detected,96,In Review,True Positive (Fraud)
ALT-2509d595,TXN-a5a7047f,2025-10-07 12:58:57,Impossible Travel,74,Closed,False Positive (Legit)
ALT-1bafac55,TXN-8a89674b,2025-01-23 14:42:28,Impossible Travel,57,In Review,True Positive (Fraud)
ALT-18199d5f,TXN-3380c11b,2025-03-06 11:23:32,VPN Detected,70,In Review,False Positive (Legit)
ALT-74aacc71,TXN-6e670fdc,2025-07-12 09:54:55,High Value,55,Unassigned,False Positive (Legit)
ALT-453c9657,TXN-dddd4b12,2025-11-11 03:50:50,VPN Detected,79,In Review,True Positive (Fraud)
ALT-0c753abc,TXN-b702d902,2025-01-14 13:38:40,VPN Detected,68,Closed,False Positive (Legit)
ALT-9a4eccf6,TXN-370dbc54,2025-05-22 00:49:04,High Value,74,Closed,False Positive (Legit)
ALT-c6c1eb8c,TXN-ab5e4adb,2025-12-23 15:37:35,VPN Detected,73,Unassigned,False Positive (Legit)
ALT-141de2bb,TXN-7a4e438b,2025-03-12 12:06:57,High Velocity,59,In Review,True Positive (Fraud)
ALT-f432eb58,TXN-d5609043,2025-02-10 09:56:22,High Value,97,Closed,Unresolved
ALT-76e7e903,TXN-98b0b9af,2025-07-28 20:08:47,High Value,96,In Review,False Positive (Legit)
ALT-ea4304e5,TXN-a5d3d1eb,2025-08-14 10:24:56,High Value,81,Closed,False Positive (Legit)
ALT-e8c9b3d6,TXN-2859ab62,2025-05-10 14:01:22,High Velocity,73,Unassigned,True Positive (Fraud)
ALT-b86a6b1a,TXN-d88d2381,2025-08-05 22:48:50,Impossible Travel,92,Closed,False Positive (Legit)
ALT-bc050917,TXN-d1b54f98,2025-08-20 09:29:27,VPN Detected,74,Unassigned,False Positive (Legit)
ALT-d01ef704,TXN-4e36215b,2025-02-05 00:10:24,High Velocity,50,Unassigned,False Positive (Legit)
ALT-fdea442e,TXN-ad7ef92d,2025-01-25 00:43:48,Impossible Travel,72,In Review,False Positive (Legit)
ALT-adb3fe26,TXN-e27d5c20,2025-01-28 04:40:16,High Value,59,Unassigned,True Positive (Fraud)
ALT-e30068c2,TXN-ff016648,2025-11-11 08:01:43,Impossible Travel,77,Closed,True Positive (Fraud)
ALT-ca71a7ed,TXN-ab86b040,2025-09-27 20:23:03,VPN Detected,63,In Review,True Positive (Fraud)
ALT-ca020a42,TXN-2f1e736b,2025-12-16 15:42:27,VPN Detected,52,In Review,True Positive (Fraud)
ALT-8e1533d1,TXN-2fee9cff,2025-02-10 10:24:09,High Value,97,Closed,False Positive (Legit)
ALT-8f99bdbf,TXN-36341db5,2025-01-05 22:12:19,High Velocity,72,Closed,False Positive (Legit)
ALT-2afe92e5,TXN-04696f8e,2025-02-07 12:38:28,High Velocity,88,In Review,Unresolved
ALT-347fdc62,TXN-3cd0c278,2025-07-30 20:18:44,High Velocity,69,In Review,True Positive (Fraud)
ALT-23bff3c9,TXN-88f2d90d,2025-03-30 04:35:20,Impossible Travel,97,Closed,True Positive (Fraud)
ALT-9fc8f409,TXN-0b15cc72,2025-05-31 02:08:11,High Value,62,Unassigned,False Positive (Legit)
ALT-f087e41b,TXN-b969ea65,2025-10-28 15:08:03,VPN Detected,94,In Review,Unresolved
ALT-22f81dd7,TXN-b14e86ff,2025-12-19 21:31:09,High Value,90,Unassigned,False Positive (Legit)
ALT-18cbcd4a,TXN-c4319e3a,2025-09-08 14:04:22,High Velocity,71,Unassigned,Unresolved
ALT-9f81dca9,TXN-144272b2,2025-02-10 12:48:26,High Velocity,93,Closed,True Positive (Fraud)
ALT-aba137c7,TXN-1d6ce8bb,2025-09-04 08:40:05,VPN Detected,71,Closed,True Positive (Fraud)
ALT-6fbc8805,TXN-0e016b96,2025-11-05 14:57:11,High Value,57,In Review,Unresolved
ALT-99b363d0,TXN-afee6e8f,2025-06-09 10:51:43,Impossible Travel,72,Closed,Unresolved
ALT-37729477,TXN-283ee38d,2025-05-13 06:20:53,Impossible Travel,50,In Review,True Positive (Fraud)
ALT-65f84a3a,TXN-7d8633ce,2025-08-07 03:12:35,High Value,89,Closed,Unresolved
ALT-430d0f28,TXN-5ebbad70,2025-07-30 14:50:06,VPN Detected,75,In Review,True Positive (Fraud)
ALT-de12a3fc,TXN-76a88770,2025-11-13 20:48:21,Impossible Travel,83,Closed,Unresolved
ALT-60f5eaa1,TXN-72225c3e,2025-06-30 17:08:23,High Value,90,Unassigned,Unresolved
ALT-f6a3406a,TXN-c71981e7,2025-07-25 12:51:36,High Value,70,Unassigned,True Positive (Fraud)
ALT-5dfdfe2b,TXN-ec6fd3c9,2025-01-26 03:17:35,High Velocity,79,Closed,Unresolved
ALT-f2c5b1bd,TXN-4184c180,2025-06-30 06:50:46,Impossible Travel,77,Unassigned,False Positive (Legit)
ALT-f21da31b,TXN-b6edc1a8,2025-08-19 00:00:58,VPN Detected,77,Closed,True Positive (Fraud)
ALT-1366de5b,TXN-bdb56711,2025-05-25 18:24:26,High Velocity,66,In Review,True Positive (Fraud)
ALT-d4416eb9,TXN-8e8ef343,2025-06-08 17:22:34,High Velocity,61,Unassigned,False Positive (Legit)
ALT-938387a8,TXN-503fd87d,2025-08-21 19:21:31,Impossible Travel,97,Closed,Unresolved
ALT-c85951d4,TXN-9c20b1ac,2025-05-21 17:40:19,VPN Detected,83,Unassigned,True Positive (Fraud)
ALT-fadcf3af,TXN-cbe76fa8,2025-04-06 21:34:35,High Value,80,In Review,Unresolved
ALT-159f5588,TXN-e58ce30d,2025-06-13 06:46:24,VPN Detected,55,In Review,False Positive (Legit)
ALT-23803448,TXN-a6a6febe,2025-01-25 10:18:24,High Velocity,94,Closed,True Positive (Fraud)
ALT-4b2f29f2,TXN-182644ea,2025-07-02 21:59:16,Impossible Travel,74,Unassigned,False Positive (Legit)
ALT-166091cc,TXN-e3539bd5,2025-10-21 07:00:04,VPN Detected,79,Unassigned,Unresolved
ALT-840ca254,TXN-6b9772e5,2025-03-21 21:02:59,Impossible Travel,94,In Review,False Positive (Legit)
ALT-9cf355dd,TXN-b10a5849,2025-08-10 12:41:25,Impossible Travel,67,In Review,True Positive (Fraud)
ALT-3177ed98,TXN-d6b75a6d,2025-05-19 05:47:17,Impossible Travel,64,Unassigned,True Positive (Fraud)
ALT-44b0f0cf,TXN-4e51783f,2025-01-03 19:58:50,High Value,93,Closed,Unresolved
ALT-c0cdf0b2,TXN-936a169f,2025-07-31 07:48:06,High Velocity,80,In Review,Unresolved
ALT-a39af922,TXN-678458ec,2025-10-08 16:13:57,High Value,50,Unassigned,True Positive (Fraud)
ALT-503eb9b7,TXN-537203ff,2025-07-17 10:18:27,High Value,64,In Review,False Positive (Legit)
ALT-ec49cdd7,TXN-0d8ac8b4,2025-11-12 18:50:39,High Value,96,In Review,False Positive (Legit)
ALT-5f2895cc,TXN-bf9a9c3b,2025-06-01 09:07:40,High Velocity,94,In Review,True Positive (Fraud)
ALT-bb486073,TXN-d0618515,2025-11-10 09:29:09,Impossible Travel,64,In Review,True Positive (Fraud)
ALT-5fd9b630,TXN-35b2cb1a,2025-07-28 06:49:07,High Value,84,In Review,True Positive (Fraud)
ALT-7cb50df4,TXN-82adfd4c,2025-11-25 22:56:17,High Velocity,66,Unassigned,True Positive (Fraud)
ALT-31468f03,TXN-7cf5b4bc,2025-06-13 07:35:42,High Velocity,92,Unassigned,False Positive (Legit)
ALT-b41ec53f,TXN-d3892095,2025-01-01 00:19:28,High Value,85,Unassigned,True Positive (Fraud)
ALT-6cb284ef,TXN-8ade5c8c,2025-06-27 23:26:47,VPN Detected,58,In Review,False Positive (Legit)
ALT-845fa8e4,TXN-76581305,2025-11-10 16:56:39,VPN Detected,69,Unassigned,False Positive (Legit)
ALT-0d393843,TXN-6c908505,2025-08-17 01:57:10,Impossible Travel,91,Closed,False Positive (Legit)
ALT-4a33fdc5,TXN-08d1db85,2025-02-13 08:28:48,High Value,51,Closed,True Positive (Fraud)
ALT-685194c6,TXN-2786122b,2025-03-28 04:26:33,High Velocity,73,Unassigned,True Positive (Fraud)
ALT-1b775522,TXN-30bc9b55,2025-05-17 11:54:38,Impossible Travel,74,In Review,True Positive (Fraud)
ALT-a4953ada,TXN-4b4922f4,2025-10-06 20:56:39,Impossible Travel,92,Unassigned,True Positive (Fraud)
ALT-9b09cc30,TXN-7e50ce49,2025-09-09 23:34:57,High Velocity,68,Unassigned,True Positive (Fraud)
ALT-9d06b070,TXN-5ab1686c,2025-10-29 19:07:44,VPN Detected,75,In Review,True Positive (Fraud)
ALT-b58f4113,TXN-b5d31bc3,2025-08-03 08:40:17,High Value,87,Unassigned,False Positive (Legit)
ALT-24774219,TXN-60803eff,2025-02-17 15:00:57,VPN Detected,95,In Review,False Positive (Legit)
ALT-e25f1f51,TXN-69cdf5d9,2025-09-23 15:16:53,Impossible Travel,67,Closed,True Positive (Fraud)
ALT-aaad19f7,TXN-af5be815,2025-02-22 11:45:52,Impossible Travel,67,Closed,Unresolved
ALT-d43e5d0a,TXN-570cd87b,2025-01-12 20:40:44,VPN Detected,53,Unassigned,True Positive (Fraud)
ALT-dc62a865,TXN-37343168,2025-12-26 04:45:54,VPN Detected,86,Unassigned,Unresolved
ALT-2a368904,TXN-0ed4ae21,2025-02-04 07:52:10,Impossible Travel,57,In Review,Unresolved
ALT-34c1853f,TXN-79c8cb50,2025-01-13 03:57:09,High Velocity,98,Closed,False Positive (Legit)
ALT-12d9715d,TXN-6f6cb893,2025-11-26 18:10:06,High Value,74,In Review,Unresolved
ALT-7572683f,TXN-cf643908,2025-03-23 14:56:22,High Value,97,Closed,Unresolved
ALT-1ce86caf,TXN-717348c2,2025-09-13 09:47:17,High Velocity,62,In Review,False Positive (Legit)
ALT-e650614f,TXN-a370a730,2025-09-27 08:03:22,VPN Detected,59,In Review,True Positive (Fraud)
ALT-3382c063,TXN-84ba1ed8,2025-10-20 11:37:22,High Velocity,72,In Review,False Positive (Legit)
ALT-b2ad95fa,TXN-bca89a26,2025-06-25 13:31:56,High Velocity,68,Unassigned,False Positive (Legit)
ALT-e1b62d1d,TXN-585b08a6,2025-06-18 02:09:57,VPN Detected,99,Closed,False Positive (Legit)
ALT-d70a9f70,TXN-c4c84edd,2025-11-03 00:06:53,High Velocity,88,Unassigned,True Positive (Fraud)
ALT-e97e419c,TXN-cbfc78ba,2025-05-06 08:53:03,VPN Detected,96,In Review,True Positive (Fraud)
ALT-b6769c20,TXN-aa67e0e5,2025-05-08 04:49:10,VPN Detected,73,Unassigned,False Positive (Legit)
ALT-aa9a06a9,TXN-8f32630d,2025-03-01 22:48:58,High Velocity,62,Unassigned,True Positive (Fraud)
ALT-0bf56548,TXN-7b467b29,2025-03-01 15:32:39,High Value,83,Closed,False Positive (Legit)
ALT-2832e229,TXN-70b16ce3,2025-06-19 16:08:15,High Value,73,Unassigned,Unresolved
ALT-32496c7a,TXN-722f912a,2025-04-07 19:27:49,High Velocity,83,In Review,True Positive (Fraud)
ALT-60fed4ea,TXN-b19460ab,2025-09-11 20:51:41,High Velocity,72,Unassigned,True Positive (Fraud)
ALT-3cada1f3,TXN-bb2640a3,2025-10-30 21:05:17,Impossible Travel,72,Closed,Unresolved
ALT-a3348cdd,TXN-ef3dd6a7,2025-10-12 20:07:07,Impossible Travel,86,Closed,Unresolved
